text_id,触发事件,文案内容,变量说明
ENC-A,遭遇战开始,"[系统警报] 抵达目标坐标，雷达扫描到敌意信号：[敌方名称]！战斗序列已启动。","[敌方名称]"
ENC-B,遭遇战开始,"深空静默被打破。[敌方名称] 的火控雷达已锁定我方，全舰进入一级战备！","[敌方名称]"
ENC-C,遭遇战开始,"检测到 [敌方阵营] 能量特征。目标确认为：[敌方名称]。武器系统充能完毕，准备交火。","[敌方阵营],[敌方名称]"
ENC-D,遭遇战开始,"雷达预警！我方航线遭遇阻截，识别到 [敌方阵营] 的 [敌方名称] 正在逼近。战术面板已展开。","[敌方阵营],[敌方名称]"
SPD-A,连续行动触发,"[攻击方] 的引擎爆发出惊人的推力，抢在对方反应前再次占据了攻击阵位！","[攻击方]"
SPD-B,连续行动触发,"凭借压倒性的机动优势，[攻击方] 连续锁定目标，发动了新一轮火力倾泻！","[攻击方]"
MSS-A,攻击被闪避,"[攻击方] 发动猛烈炮击，但 [防守方] 引擎喷吐出蓝色尾焰，进行了一个紧急滚转，完美规避了伤害！","[攻击方],[防守方]"
MSS-B,攻击被闪避,"由于目标速度过快，[攻击方] 的火力网打在了残影上。攻击未命中。","[攻击方]"
MSS-C,攻击被闪避,"[防守方] 的姿态控制推进器瞬间爆发，与袭来的光束擦肩而过。（闪避成功）","[防守方]"
SHD-A,护盾吸收伤害,"[攻击方] 开火！命中目标！但 [防守方] 的偏导护盾泛起一阵涟漪，吸收了 [数值] 点伤害。","[攻击方],[防守方],[数值]"
SHD-B,护盾吸收伤害,"强大的火力倾泻而出，造成了 [数值] 点伤害。[防守方] 的能量力场坚挺地挡下了这一击，护盾容量正在下降。","[防守方],[数值]"
SHD-C,护盾吸收伤害,"火花四溅！攻击命中了能量网，[防守方] 损失了 [数值] 点护盾值，舰体结构完好。","[防守方],[数值]"
BRK-A,护盾击穿,"警报！承受了 [数值] 点致命打击后，[防守方] 的护盾发生器不堪重负，爆裂出一团电火花。护盾已击穿！","[防守方],[数值]"
BRK-B,护盾击穿,"装甲暴露！[攻击方] 的这一发攻击不仅打穿了剩余的能量场，狂暴的能量直逼物理装甲！","[攻击方]"
HUL-A,舰体受损,"失去护盾保护的 [防守方] 遭到重创！装甲板被撕裂，舰体结构受到 [数值] 点物理损伤！","[防守方],[数值]"
HUL-B,舰体受损,"警报！外层甲板被击穿，核心舱室震荡！[防守方] 损失了 [数值] 点耐久度！","[防守方],[数值]"
HUL-C,舰体受损,"火力直接命中物理实体！一阵金属扭曲的巨响后，[防守方] 的耐久度下降了 [数值] 点，内部引发多处火灾！","[防守方],[数值]"
VIC-A,战斗胜利,"致命一击！[攻击方] 倾泻了最后的 [数值] 点伤害。伴随着太空中无声的剧烈爆炸，[防守方] 化为了一团燃烧的废铁碎片。","[攻击方],[防守方],[数值]"
VIC-B,战斗胜利,"目标反应堆核心熔毁。[防守方] 在刺目的强光中解体。战斗结束，清扫战区。","[防守方]"
VIC-SUFFIX,战斗胜利结算后缀,"【战斗胜利】 获得赏金：[数值] 星币。打捞到：[物品名称]。","[数值],[物品名称]"
DEF-A,战斗失败,"[严重警告] 舰体承压达到极限！引擎熄火，维生系统下线！我们被摧毁了！",
DEF-B,战斗失败,"主控屏幕陷入一片死寂的黑暗。你的星舰在 [敌方名称] 的猛烈炮火下解体。","[敌方名称]"
DEF-SUFFIX,战斗失败结算后缀,"【战斗失败】 自动逃生舱已弹射回基地。星舰处于[大破]状态，等待支付巨额维修费用。",
DRW-A,强制平局,"双方弹药告罄，推进器过热。在漫长而毫无进展的交火后，双方默契地脱离了接触。",
DRW-B,强制平局,"系统判定：由于长期无法彻底摧毁对方装甲，继续交战将毫无意义。你的星舰主动切断了火控锁定，执行战术撤退。",
DRW-SUFFIX,平局结算后缀,"【战斗平局】 未获得任何战利品。本次交火造成的耐久度损伤将被保留。",
